"","IncidentType","Category","FloorConditions","Weather","RiskAssessment","IncidentLocation","OccurredOnEmployerPremises","InjuredPartyType","EmplType","WasProtectiveClothingWorn","WasMechHandlingEquiUsed","LengthEmplCat","TotalDaysUnfitForWork","RiddorReportable","InjuredPartysAge","Brand","Months"
"1","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","1-2 Years",138,"Y",45,"Jewson","January"
"2","Lost Time Injury (TF1)","Overturned vehicle","Wet","Wet/Cold","Y","Offsite","N","Contractor (<=10hrs/wk)","HGV/LGV Driver","Y","N","5-10 Years",0,"Y",44,"Jewson","August"
"3","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","1-2 Years",14,"Y",63,"Jewson","August"
"4","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Offsite","N","Full-Time","Management Staff","Y","N","5-10 Years",9,"Y",64,"Jewson","August"
"5","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","Y","Offsite","N","Full-Time","Counter Sales Staff","Y","N","6-12 Months",17,"Y",31,"Normans","November"
"6","Lost Time Injury (TF1)","Contact with moving machinery","Normal","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","3-6 Months",6,"N",40,"Jewson","July"
"7","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","Y","Offsite","N","Temporary Worker/Agency","HGV/LGV Driver","Y","N","1-2 Years",0,"N",65,"Jewson","October"
"8","Lost Time Injury (TF1)","Struck by moving vehicle (not FLT)","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","3-6 Months",8,"Y",42,"Jewson","November"
"9","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",49,"Y",56,"Jewson","June"
"10","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Normal","Icy/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","6-12 Months",122,"Y",47,"Jewson","March"
"11","Lost Time Injury (TF1)","Fall from a height","Wet","Wet/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","0-3 Months",21,"Y",70,"Jewson","November"
"12","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",29,"Y",48,"Jewson","November"
"13","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","N","N","1-2 Years",48,"Y",69,"Jewson","July"
"14","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","1-2 Years",56,"Y",61,"Jewson","February"
"15","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","2-3 Years",18,"Y",55,"Jewson","June"
"16","Lost Time Injury (TF1)","Fall from a height","Normal","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","6-12 Months",93,"Y",53,"Jewson","October"
"17","Lost Time Injury (TF1)","Contact with moving machinery","Wet","Wet/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","3-5 Years",21,"Y",54,"Jewson","October"
"18","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Stockyard","N","Full-Time","HGV/LGV Driver","Y","Y","2-3 Years",21,"Y",66,"Ceramic Tile Distributors","August"
"19","Lost Time Injury (TF1)","Manual Handling","Wet","Wet/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","N","N","3-5 Years",1100,"Y",50,"Jewson","July"
"20","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Offsite","N","Temporary Worker/Agency","HGV/LGV Driver","Y","Y","6-12 Months",3,"N",48,"Bassetts","October"
"21","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","N","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","6-12 Months",6,"Y",63,"Jewson","July"
"22","Lost Time Injury (TF1)","Fall from a height","Normal","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",12,"Y",54,"Jewson","July"
"23","Lost Time Injury (TF1)","Manual Handling","Normal","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",36,"Y",62,"Jewson","June"
"24","Lost Time Injury (TF1)","Fall from a height","Wet","Wet/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","1-2 Years",244,"Y",75,"Jewson","May"
"25","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",5,"N",42,"Jewson","June"
"26","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Offsite","N","Full-Time","Field Based Employee/Sales","Y","N","5-10 Years",4,"N",68,"Jewson","December"
"27","Lost Time Injury (TF1)","Fall from a height","Normal","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","20+ Years",106,"Y",53,"Jewson","November"
"28","Lost Time Injury (TF1)","Fall from a height","Normal","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","6-12 Months",16,"Y",53,"Graham","December"
"29","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Offsite","N","Full-Time","Representative","Y","N","1-2 Years",7,"Y",64,"Jewson","October"
"30","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Wet/Cold","N","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",61,"Y",55,"Jewson","May"
"31","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Normal","Dry/Cold","Y","Offsite","N","Temporary Worker/Agency","HGV/LGV Driver","N","N","5-10 Years",0,"N",61,"Jewson","May"
"32","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","N","N","10-20 Years",28,"N",58,"Jewson","May"
"33","Lost Time Injury (TF1)","Fall from a height","Normal","Wet/Cold","Y","Offsite","N","Full-Time","Machinery Operative","Y","N","0-3 Months",5,"Y",57,"Jewson","April"
"34","Lost Time Injury (TF1)","Struck by moving vehicle (not FLT)","Wet","Wet/Cold","Y","Stockyard","N","Member Of Public","HGV/LGV Driver","Y","Y","3-6 Months",0,"Y",50,"Jewson","May"
"35","Lost Time Injury (TF1)","Manual Handling","Wet","Wet/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",36,"Y",37,"Jewson","September"
"36","Lost Time Injury (TF1)","Fall from a height","Normal","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","3-6 Months",3,"N",66,"Jewson","February"
"37","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",24,"Y",58,"Jewson","February"
"38","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","10-20 Years",7,"Y",49,"Jewson","March"
"39","Lost Time Injury (TF1)","Fall from a height","Wet","Wet/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","3-5 Years",6,"Y",54,"Jewson","May"
"40","Lost Time Injury (TF1)","Fall from a height","Normal","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","6-12 Months",2,"N",59,"Jewson","August"
"41","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Hot","Y","Offsite","N","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",28,"Y",33,"Jewson","September"
"42","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","1-2 Years",5,"N",54,"Jewson","February"
"43","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Offsite","N","Full-Time","Machinery Operative","Y","N","1-2 Years",54,"Y",58,"Jewson","September"
"44","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Offsite","N","Full-Time","Machinery Operative","Y","N","3-6 Months",75,"Y",46,"Gibbs and Dandy Group","September"
"45","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Offsite","N","Contractor (<=10hrs/wk)","HGV/LGV Driver","N","N","5-10 Years",0,"Y",33,"Ideal Bathrooms Ltd","November"
"46","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Offsite","N","Full-Time","Counter Sales Staff","Y","N","5-10 Years",4,"N",60,"Jewson","September"
"47","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","6-12 Months",279,"Y",64,"Jewson","July"
"48","Lost Time Injury (TF1)","Struck by flying objects/debris","Normal","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","1-2 Years",9,"Y",51,"International Decorative Surfaces","March"
"49","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","10-20 Years",50,"Y",52,"Jewson","April"
"50","Lost Time Injury (TF1)","Struck by flying objects/debris","Wet","Wind","Y","Offsite","N","Full-Time","HGV/LGV Driver","N","N","6-12 Months",2,"N",50,"Jewson","April"
"51","Lost Time Injury (TF1)","Fall from a height","Wet","Wet/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","3-5 Years",92,"Y",65,"Jewson","August"
"52","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","0-3 Months",90,"Y",30,"Jewson","August"
"53","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","0-3 Months",12,"Y",59,"Jewson","July"
"54","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Hot","Y","Offsite","N","Temporary Worker/Agency","HGV/LGV Driver","Y","N","6-12 Months",0,"Y",53,"Jewson","December"
"55","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",14,"Y",60,"Jewson","February"
"56","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","0-3 Months",63,"Y",46,"Jewson","November"
"57","Lost Time Injury (TF1)","Manual Handling","Dry","Icy/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",8,"Y",60,"Graham","May"
"58","Lost Time Injury (TF1)","Struck against stationary object","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","N","N","20+ Years",5,"N",38,"Jewson","November"
"59","Lost Time Injury (TF1)","Struck against stationary object","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","2-3 Years",5,"N",55,"Jewson","April"
"60","Lost Time Injury (TF1)","Manual Handling","Normal","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","2-3 Years",335,"Y",56,"Jewson","August"
"61","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",109,"Y",48,"Graham","July"
"62","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","3-6 Months",13,"Y",52,"International Decorative Surfaces","December"
"63","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","0-3 Months",11,"Y",33,"Jewson","November"
"64","Lost Time Injury (TF1)","Contact with moving machinery","Dry","Dry/Cold","Y","Stockyard","N","Self-Employed","HGV/LGV Driver","Y","N","5-10 Years",0,"Y",51,"Jewson","November"
"65","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","N","Full-Time","HGV/LGV Driver","Y","N","6-12 Months",2,"N",38,"Jewson","January"
"66","Lost Time Injury (TF1)","Struck against stationary object","Dry","Dry/Cold","Y","Production/Processing","Y","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",10,"Y",23,"Pasquill","January"
"67","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","Y","Offsite","N","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",80,"Y",50,"Jewson","May"
"68","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Management Staff","Y","N","1-2 Years",121,"Y",54,"Jewson","December"
"69","Lost Time Injury (TF1)","Fall from a height","Normal","Dry/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","1-2 Years",59,"Y",38,"Jewson","November"
"70","Lost Time Injury (TF1)","Exposed to fire or heat","Normal","Dry/Cold","Y","Stockyard","Y","Contractor (<=10hrs/wk)","Yard/Warehouse Operative","Y","Y","6-12 Months",0,"N",33,"Jewson","August"
"71","Lost Time Injury (TF1)","Manual Handling","Wet","Dry/Cold","Y","Offices/Showroom","Y","Contractor (<=10hrs/wk)","Counter Sales Staff","N","N","1-2 Years",0,"N",27,"Jewson","April"
"72","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Hot","N","Offices/Showroom","Y","Full-Time","Field Based Employee/Sales","N","N","3-6 Months",5,"N",44,"Jewson","December"
"73","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Representative","N","N","20+ Years",13,"Y",43,"International Timber","April"
"74","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Management Staff","N","N","2-3 Years",3,"N",58,"Jewson","October"
"75","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Offsite","Y","Full-Time","HGV/LGV Driver","Y","N","20+ Years",6,"N",54,"Jewson","September"
"76","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Icy/Cold","Y","Offices/Showroom","Y","Full-Time","Internal Sales Office Staff","Y","N","10-20 Years",23,"Y",44,"Jewson","August"
"77","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Cold","N","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","N","20+ Years",9,"Y",75,"Jewson","February"
"78","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","N","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","N","0-3 Months",2,"N",63,"Jewson","January"
"79","Lost Time Injury (TF1)","Contact with moving machinery","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","Y","2-3 Years",8,"Y",29,"Jewson","April"
"80","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","N","1-2 Years",53,"Y",55,"Jewson","November"
"81","Lost Time Injury (TF1)","Struck by flying objects/debris","Normal","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",6,"N",59,"Jewson","August"
"82","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Hot","N","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","Y","3-5 Years",11,"Y",51,"Jewson","June"
"83","Lost Time Injury (TF1)","Fall from a height","Normal","Icy/Cold","Y","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",13,"Y",40,"International Decorative Surfaces","January"
"84","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Icy/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","1-2 Years",18,"Y",70,"Gibbs and Dandy Group","May"
"85","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","N","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","20+ Years",15,"Y",31,"Jewson","January"
"86","Lost Time Injury (TF1)","Manual Handling","Normal","Dry/Cold","Y","Stockyard","Y","Full-Time","Management Staff","N","N","0-3 Months",6,"N",49,"Jewson","March"
"87","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Wet/Hot","N","Warehouse","Y","Full-Time","Counter Sales Staff","Y","N","3-5 Years",64,"Y",67,"Jewson","July"
